AE1,AE2,AE3,fdc_id,description
1.9613315,0.043551028,1.5507498,2663596,"PECAN CEREAL FLAVORED YOGURT SMOOTHIE, PECAN CEREAL"
1.7489347,0.10746086,1.4847963,2186495,"PECAN CEREAL FLAVORED YOGURT SMOOTHIE, PECAN CEREAL"
1.9949863,0.04043913,1.5160218,2159928,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
1.9949863,0.04043913,1.5160218,2471702,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
1.9949863,0.04043913,1.5160218,2628281,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
1.963256,0.23426986,1.636478,2546715,"PINEAPPLE & CEREAL FIBER LOWFAT YOGURT, PINEAPPLE & CEREAL"
1.7471908,0.09800649,1.4966334,2187843,"PRUNE CEREAL FLAVORED YOGURT SMOOTHIE, PRUNE CEREAL"
1.9949863,0.04043913,1.5160218,2159959,"PRUNE CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PRUNE CEREAL"
1.9784299,2.141818,5.3610797,2166719,"SUGAR COOKIE CEREAL WITH MARSHMALLOWS, SUGAR COOKIE CEREAL"
2.729117,2.9631858,5.3885775,2615371,"BANANA CEREAL, BANANA"
1.688288,1.5890558,3.8191018,2595891,"BANANAS CEREAL, BANANA"
2.7841992,2.7137272,5.91652,2615388,"BLUEBERRY CEREAL, BLUEBERRY"
1.6027912,2.150067,4.0678782,2615328,"CHOCOLATE CEREAL, CHOCOLATE"
2.0572991,1.8114758,4.6068,2611323,ORIGINAL CRUNCH CEREAL
2.2871308,1.1691716,2.212078,2598564,PUFFED CORN CEREAL
2.1024122,1.342881,2.3222172,2598565,PUFFED MILLET CEREAL
1.3943694,0.326859,1.9775869,2598563,PUFFED RICE CEREAL
2.3464494,0.95150346,2.2976382,2598562,PUFFED WHEAT CEREAL
3.0232573,3.210019,6.1222744,2615339,PUMPKIN SPICE CEREAL
2.7444544,2.616597,5.826265,2615350,"RASPBERRY CEREAL, RASPBERRY"
1.1951817,1.2631954,1.5121297,2677640,"CEREAL MILK ICE CREAM WITH CORNFLAKE CRUNCH, CEREAL MILK"
2.779244,2.6136882,5.160374,2746508,Basic 4 Cereal
2.8257813,2.734656,5.207786,758584,Basic 4 Cereal
1.3589516,0.5244882,2.1733947,2027257,"BLUEBERRY CEREAL, BLUEBERRY"
2.4221382,2.574463,5.0473323,1462106,Blueberry Cheerios Cereal
2.622476,2.6702454,5.159552,2233830,Blueberry Cheerios Cereal
2.4221382,2.574463,5.0473323,1462006,Blueberry Cheerios Cereal
2.477326,2.9679894,5.586392,2746527,Blueberry Chex Cereal
2.582376,3.0384345,5.8413363,761398,Blueberry Chex Cereal
2.84242,2.4642868,5.011077,2746583,Bluey Breakfast Cereal
2.520608,1.9702256,4.4340386,1886230,"BRAN CEREAL, RASIN"
2.92697,2.1668591,3.606013,732658,BRAN FLAKES CEREAL
3.928903,3.2401094,5.870235,2489001,BRAN FLAKES CEREAL
3.824566,3.0715284,5.495525,2477420,BRAN FLAKES CEREAL
3.824566,3.0715284,5.495525,2626147,BRAN FLAKES CEREAL
4.0034065,3.2903824,5.852072,2641802,BRAN FLAKES CEREAL
3.052455,3.3680892,6.440375,2560946,BREAKFAST PACK CEREAL
2.987908,2.9337525,6.0727153,2057627,"BROOKSHIRE'S, RICE CEREAL"
0.8165145,0.8404922,3.319543,2595969,"CARAMEL CEREAL, CARAMEL"
0.0,3.1720443,2.5755372,2166545,CEREAL 'N CANDY
1.6172595,1.9533505,4.2671337,1901384,"CEREAL BAR, APPLE"
1.3363328,1.3567994,3.2977104,1927664,"CEREAL BARS, BLUEBERRY"
1.3808701,1.4133835,3.3827455,1928965,"CEREAL BARS, STRAWBERRY"
2.999187,2.9614673,6.151491,2477596,CEREAL CRISPY RICE
0.25977218,1.1968465,2.4823387,2417252,CEREAL WAFER STRAWS
2.3283243,2.4316533,4.8169866,2027459,"CEREAL WITH ALMONDS, ALMONDS"
2.3283243,2.4316533,4.8169866,2470900,"CEREAL WITH ALMONDS, ALMONDS"
2.148306,2.0581458,4.260284,2470949,"CEREAL WITH ALMONDS, ALMONDS"
2.3283243,2.4316533,4.8169866,2551292,"CEREAL WITH ALMONDS, ALMONDS"
2.3283243,2.4316533,4.8169866,2027500,"CEREAL WITH ALMONDS, ALMONDS"
2.1139572,1.7383106,4.474661,2166306,"CEREAL WITH CRANBERRIES, CRANBERRIES"
2.1139572,1.7383106,4.474661,1969682,"CEREAL WITH CRANBERRIES, CRANBERRIES"
