fdc_id,description,brand_owner,food_category,Energy,Protein,"Carbohydrate, by difference",Total lipid (fat),"Fatty acids, total saturated","Fiber, total dietary",Total Sugars,"Sodium, Na"
2674184,CEREAL,"General Mills, Inc.",Cereal,387.0,6.45,83.9,3.23,0.0,6.5,29.0,774.0
2155925,CEREAL,The Kellogg Company ,Cereal,375.0,5.0,90.0,0.0,0.0,0.0,42.5,312.0
2124897,CEREAL,The Kellogg Company ,Cereal,367.0,5.0,88.3,0.0,0.0,1.7,35.0,500.0
2169577,"CEREAL BARS, CEREAL",The Kellogg Company ,"Snack, Energy & Granola Bars",450.0,5.0,75.0,15.0,10.0,0.0,40.0,250.0
2196492,"CEREAL COMBINATION GRANOLA, CEREAL","Simply Sinful Sauces, Inc.",Cereal,429.0,7.94,71.4,14.3,1.59,6.3,25.4,79.0
2484179,"CEREAL WAFER STRAWS, CEREAL",Ross Acquisition Inc.,Cereal,460.0,6.0,80.0,12.0,7.0,0.0,40.0,90.0
2144873,"CEREAL MILK POPCAKES, CEREAL MILK",Steven-Robert Desserts,"Cakes, Cupcakes, Snack Cakes",312.0,6.25,50.0,15.6,9.38,0.0,37.5,0.0
2591370,"FRUITY CEREAL CUPCAKES, FRUITY CEREAL","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes",408.0,1.41,62.0,16.9,7.04,0.0,46.5,338.0
575312,ORGANIC CEREAL,NATURE'S PATH,Cereal,345.0,7.27,63.6,8.18,2.73,5.5,21.8,255.0
575311,ORGANIC CEREAL,NATURE'S PATH,Cereal,364.0,7.27,63.6,9.09,1.82,5.5,20.0,255.0
2169579,CEREAL BARS,The Kellogg Company ,"Snack, Energy & Granola Bars",435.0,4.35,73.9,10.9,8.7,0.0,34.8,391.0
2595965,CORN CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2611299,CORN CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2611338,CORN CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2657668,CORN CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2596015,CORN CEREAL,The Kellogg Company ,Cereal,351.0,5.41,89.2,0.0,0.0,2.7,32.4,514.0
2595889,ORIGINAL CEREAL,The Kellogg Company ,Cereal,345.0,7.27,83.6,1.82,0.0,7.3,34.6,364.0
2615331,ORIGINAL CEREAL,The Kellogg Company ,Cereal,345.0,7.27,83.6,1.82,0.0,7.3,34.6,364.0
2626154,ALMONDS CEREAL,"Post Consumer Brands, LLC",Cereal,405.0,7.14,81.0,7.14,0.0,4.8,21.4,429.0
2595873,BUDS CEREAL,The Kellogg Company ,Cereal,267.0,8.89,80.0,3.33,0.0,37.8,26.7,644.0
545450,CEREAL + MILK,P.W. SPOMET SP.J.,Cookies & Biscuits,480.0,8.0,64.8,20.0,8.8,3.2,3.2,16.0
2495469,CEREAL BAR,"General Mills, Inc.","Snack, Energy & Granola Bars",371.0,5.71,74.3,7.14,0.71,7.1,21.4,286.0
373610,CEREAL BARS,TRADER JOE'S,"Snack, Energy & Granola Bars",378.0,5.41,73.0,6.76,0.0,2.7,40.5,270.0
2169575,CEREAL BARS,The Kellogg Company ,"Snack, Energy & Granola Bars",435.0,4.35,73.9,10.9,8.7,0.0,34.8,391.0
2171254,CEREAL BARS,The Kellogg Company ,"Snack, Energy & Granola Bars",435.0,4.35,73.9,10.9,8.7,0.0,34.8,391.0
2024763,CEREAL BARS,"Schnuck Markets, Inc.","Snack, Energy & Granola Bars",378.0,5.41,73.0,6.76,1.35,5.4,32.4,243.0
1947494,CEREAL IN A CUP,The Kellogg Company ,Cereal,350.0,6.25,85.0,1.88,0.0,7.5,35.0,362.0
1864216,CEREAL SNACKERS,"Post Consumer Brands, LLC",Cereal,345.0,9.09,81.8,1.82,0.0,10.9,20.0,18.0
