AE1,AE2,AE3,fdc_id,description
3.3888547,3.6318834,3.1811848,2616196,MULTIGRAIN CEREAL
5.52669,8.495292,4.944463,2470754,O'S CEREAL
2.2155359,2.9697464,2.0320227,2118100,OAT CEREAL
5.0931883,5.18856,5.35068,2597449,ORGANIC CEREAL
4.1954575,5.6088657,3.7328868,370655,ORGANIC CEREAL
4.159251,5.5923734,3.962465,370632,ORGANIC CEREALS
2.7278388,3.0977302,2.2168252,2567824,ORIGINAL CEREAL
1.1975851,0.0,1.5280179,2594634,ORIGINAL CEREAL
4.52632,6.7512403,3.6312573,2595859,ORIGINAL CEREAL
2.586277,1.8522679,2.8460834,2607681,ORIGINAL CEREAL
4.52632,6.7512403,3.6312573,2611316,ORIGINAL CEREAL
3.9208052,5.8017783,4.2674246,1898513,QUINOA CEREAL
3.6063852,3.7077692,4.5344014,2491163,SUPER CEREAL
4.3271337,4.955695,5.4623876,2113417,SUPERFOOD CEREAL
5.120735,7.529187,4.5576067,1635967,SWEETENED CEREAL
4.901137,7.083135,4.345027,2477273,SWEETENED CEREAL
2.5149305,2.7893136,2.133269,1928913,THE ORIGINAL CEREAL
3.2965772,4.139524,2.8339555,2687926,Total Cereal
4.926633,7.472211,4.4769254,2745285,Trix Cereal
5.2038894,7.751756,4.5860777,759416,Trix Cereal
4.926633,7.472211,4.4769254,1462033,Trix Cereal
4.926633,7.472211,4.4769254,2745277,Trix Cereal
4.926633,7.472211,4.4769254,2746408,Trix Cereal
4.926633,7.472211,4.4769254,2747468,Trix Cereal
3.4849286,4.752788,3.2877257,1885973,"WEGMANS, CEREAL"
3.1336162,4.1259494,2.3534467,758004,Wheaties Cereal
5.172355,4.3783855,7.379074,2509069,"CINNAMON CEREAL WITH COLLAGEN & MCTS, CINNAMON CEREAL"
5.433304,11.821208,8.811623,2671005,"FRUITY CEREAL CANDY WAFERS, FRUITY CEREAL"
4.966299,9.140393,6.776412,2561058,"FRUITY CEREAL COOKIE DOUGH, FRUITY CEREAL"
5.5948877,8.746056,5.8345947,2661010,"FRUITY CEREAL CRISPY BITES, FRUITY CEREAL"
3.12594,2.777161,5.4482675,2374125,"FRUITY CEREAL PROTEIN BUCKBAR, FRUITY CEREAL"
17.366222,15.870587,20.869848,2582068,"FRUITY CEREAL PROTEIN SHAKE, FRUITY CEREAL"
5.0652585,7.190338,4.679258,1635850,"HOLIDAY SPRINKLES SWEETENED CEREAL, SWEETENED CEREAL"
5.177985,9.374063,4.3443127,2673044,"HONEY GRAHAM CEREAL, HONEY GRAHAM CEREAL"
2.7832181,4.657472,3.6396236,2145027,"MILK & CEREAL BREAKFAST BISCUITS, MILK & CEREAL"
16.28129,15.448722,19.285955,2286997,"NUT AND CEREAL DAIRY DRINK, NUT AND CEREAL"
16.6358,15.472952,19.702555,2463998,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
16.683804,15.556367,19.80438,2301161,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
16.427547,15.448944,19.591839,2187239,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
16.374594,15.406015,19.5259,2187209,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
16.683804,15.556367,19.80438,2189425,"PECAN CEREAL YOGURT SMOOTHIE, PECAN CEREAL"
15.128901,14.662632,18.044409,2189000,"SMOOTHIE YOGURT WITH PECAN & CEREALS, PECAN & CEREALS"
5.3907566,8.175989,4.8023105,1864071,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL"
5.3907566,8.175989,4.8023105,2015533,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN CEREAL"
5.9661784,9.471808,5.0600023,1850350,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL"
5.9661784,9.471808,5.0600023,1864069,"SWEETENED RICE CEREAL, SWEETENED RICE CEREAL"
4.515622,6.5728416,3.7250233,2672929,"TOASTED RICE CEREAL, TOASTED RICE CEREAL"
12.512701,13.440345,15.527881,1970205,"CEREAL SOAKED MILK ICE CREAM WITH CRISPY CEREAL SWIRL, CEREAL DREAMS"
3.258259,3.5250769,3.537995,1855473,"PEACE CEREAL, SUPERGRAINS CEREAL, MAPLE BUCKWHEAT HEMP"
2.4064658,3.8639486,3.5925536,1880521,"BAUDUCCO, BREAKFAST COOKIE, MILK & CEREALS, MILK & CEREALS"
5.1995363,11.545568,8.293718,2411924,"CEREAL 'N CANDY BITES, CEREAL 'N CANDY"
2.0048964,2.2930553,4.4735665,1838403,"CHOCOLATEY CEREAL FLAVOR MACROS BARS, CHOCOLATEY CEREAL"
4.3876424,9.370028,6.9868784,1975441,"CINNAMON CEREAL IN MILK CHOCOLATE CEREAL SWEETS, CINNAMON"
6.5903945,9.346413,6.3527102,2506722,"FRUITY CEREAL FLAVORED CARAMEL CORN, FRUITY CEREAL"
3.104805,2.59678,5.7293673,2666683,"FRUITY CEREAL FLAVORED PROTEIN BAR, FRUITY CEREAL"
16.37575,15.421579,19.532824,2628160,"LALA, YOGURT SMOOTHIE, PECAN CEREAL, PECAN CEREAL"
16.302528,15.488772,19.433523,2186493,"LALA, YOGURT SMOOTHIE, PECAN CEREAL, PECAN CEREAL"
2.8381538,3.7621121,5.692712,1838132,"MACROS FRUITY CEREAL BAR, MACROS FRUITY CEREAL"
4.6648245,10.537151,7.8008356,2631103,"MARSHMALLOW CEREAL CHOCOLATE BAR, MARSHMALLOW CEREAL CHOCOLATE"
16.667713,15.503051,19.738745,2663596,"PECAN CEREAL FLAVORED YOGURT SMOOTHIE, PECAN CEREAL"
16.21575,15.432132,19.325327,2186495,"PECAN CEREAL FLAVORED YOGURT SMOOTHIE, PECAN CEREAL"
16.80551,15.590581,19.920185,2159928,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
16.80551,15.590581,19.920185,2471702,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
16.80551,15.590581,19.920185,2628281,"PECAN CEREAL YOGURT SMOOTHIE WITH PROBIOTICS, PECAN CEREAL"
15.166985,14.295721,17.979593,2546715,"PINEAPPLE & CEREAL FIBER LOWFAT YOGURT, PINEAPPLE & CEREAL"
