fdc_id,description,brand_owner,serving_size,serving_size_unit,food_category,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy,Total Sugars,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn",Vitamin D (D2 + D3),"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin B-6,"Folate, total",Vitamin B-12,Folic acid,"Sugars, added",Cholesterol,"Fatty acids, total trans","Fatty acids, total saturated","Vitamin A, RAE","Vitamin A, IU",Pantothenic acid,"Vitamin D (D2 + D3), International Units","Copper, Cu","Manganese, Mn","Selenium, Se","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fiber, soluble","Carbohydrate, other","Fiber, insoluble",Total sugar alcohols,"Iodine, I",Vitamin D3 (cholecalciferol),Biotin,Vitamin K (phylloquinone),Vitamin E,"Folate, DFE",Ash,Water,Vitamin E (label entry primarily),"Chlorine, Cl","Chromium, Cr","Molybdenum, Mo",Starch,Vitamin E (alpha-tocopherol),"Sugars, Total","Alcohol, ethyl","Choline, total",Tryptophan,Threonine,Isoleucine,Leucine,Lysine,Methionine,Cystine,Phenylalanine,Tyrosine,Valine,Arginine,Histidine,Alanine,Aspartic acid,Glutamic acid,Glycine,Proline,Serine,"Sugars, intrinsic"
2171191,CEREAL,The Kellogg Company ,60.0,g,Cereal,6.67,2.5,85.0,350.0,35.0,8.3,33.0,3.0,67.0,,383.0,283.0,,,,,,,,,,,25.0,0.0,0.0,0.0,,,,0.0,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2142492,CEREAL,The Kellogg Company ,59.0,g,Cereal,8.47,1.69,79.7,322.0,28.8,11.9,34.0,3.05,102.0,169.0,475.0,339.0,2.54,,,,,5.08,,,,,15.3,0.0,0.0,0.0,,,,0.0,0.678,3.0,12.0,0.0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727086,CEREAL,"General Mills, Inc.",30.0,g,Cereal,6.67,3.33,83.3,367.0,30.0,3.3,333.0,15.0,27.0,133.0,233.0,767.0,12.5,,20.0,1.0,1.42,16.7,1.67,,5.0,,,0.0,0.0,0.0,,1670.0,,133.0,,,,1.67,0.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926949,CEREAL,The Kellogg Company ,30.0,g,Cereal,3.33,0.0,90.0,367.0,36.7,3.3,0.0,15.0,,,117.0,467.0,,,20.0,1.0,1.42,16.7,1.67,,5.0,,,0.0,0.0,0.0,,1670.0,,133.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089085,CEREAL,The Kellogg Company ,28.0,g,Cereal,7.14,0.0,85.7,357.0,10.7,3.6,0.0,28.9,,,161.0,714.0,,,21.4,1.0,1.52,17.9,1.79,,5.36,,,0.0,0.0,0.0,,1790.0,,143.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671774,CEREAL,The Kellogg Company ,32.0,GRM,Cereal,6.25,3.12,84.4,375.0,31.2,9.4,0.0,14.1,,,172.0,469.0,4.69,6.0,46.9,1.0,1.33,15.6,1.56,,4.69,312.0,,0.0,0.0,0.0,281.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027476,CEREAL,"Post Consumer Brands, LLC",32.0,g,Cereal,6.25,7.81,81.2,406.0,18.8,6.2,0.0,33.8,50.0,188.0,203.0,422.0,0.94,,0.0,1.0,1.33,15.6,1.56,,4.69,,,0.0,0.0,0.0,,2340.0,,125.0,0.25,,,4.69,1.56,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552163,CEREAL,The Kellogg Company ,42.0,GRM,Cereal,7.14,0.0,85.7,357.0,9.52,2.4,0.0,28.6,,,143.0,,,,,1.0,1.21,14.3,1.43,,4.29,,9.5,0.0,0.0,0.0,,,,286.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370663,CEREAL,NATURE'S PATH ORGANIC,55.0,g,Cereal,10.9,5.45,80.0,418.0,10.9,10.9,36.0,4.91,,,,382.0,,,0.0,,,,,,,,,0.0,0.0,0.91,,0.0,,,,,,1.82,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469488,CEREAL,"Post Consumer Brands, LLC",39.0,g,Cereal,2.56,18.0,74.4,462.0,41.0,2.6,282.0,11.5,,0.0,77.0,346.0,3.85,,,2.0,,5.13,0.513,46.0,,51.0,41.0,0.0,0.0,15.4,,,1.28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015799,CEREAL,Nature's Path Foods Inc.,30.0,g,Cereal,6.67,3.33,83.3,367.0,20.0,10.0,0.0,2.4,,,,450.0,,,0.0,,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,0.0,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928911,CEREAL,"Post Consumer Brands, LLC",58.0,g,Cereal,10.3,1.72,81.0,362.0,8.62,12.1,34.0,27.9,138.0,345.0,397.0,466.0,2.07,,0.0,1.0,0.117,8.62,0.862,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.345,,,0.0,0.86,2.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2168954,CEREAL,Hometown Food Company,41.0,g,Cereal,2.44,3.66,87.8,390.0,39.0,2.4,366.0,15.4,,0.0,49.0,439.0,5.49,,,2.0,,7.32,0.732,,,61.0,39.0,0.0,0.0,0.0,,,2.44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912505,CEREAL,The Kellogg Company ,29.0,g,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,0.0,15.5,,,121.0,517.0,,,20.7,1.0,1.47,17.2,1.72,,5.17,,,0.0,0.0,0.0,,1720.0,,138.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089083,CEREAL,The Kellogg Company ,29.0,g,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,0.0,15.5,,,121.0,517.0,,,20.7,1.0,1.47,17.2,1.72,,5.17,,,0.0,0.0,0.0,,1720.0,,138.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2089087,CEREAL,The Kellogg Company ,32.0,g,Cereal,6.25,3.12,84.4,375.0,31.2,9.4,0.0,14.1,,,172.0,469.0,4.69,,46.9,1.0,1.33,15.6,1.56,,4.69,,,0.0,0.0,0.0,,1560.0,,125.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2671976,CEREAL,The Kellogg Company ,29.0,GRM,Cereal,3.45,0.0,89.7,379.0,34.5,3.4,0.0,15.5,,,121.0,517.0,,7.0,20.7,1.0,1.47,17.2,1.72,,5.17,345.0,,0.0,0.0,0.0,310.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587822,CEREAL,"Post Consumer Brands, LLC",40.0,GRM,Cereal,2.5,5.0,85.0,400.0,42.5,2.5,25.0,18.0,,50.0,150.0,525.0,5.62,0.0,,3.0,,5.0,0.5,60.0,,62.0,40.0,0.0,0.0,0.0,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
